Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

0,12.5,99.5,40.0,614,100.39,35.2,
0.96,12.5,99.5,40.0,709,100.39,35.2,
1.92,12.5,99.5,78.0,752,100.39,35.1,
2.88,12.5,99.5,59.6,642,100.40,35.1,
3.84,12.5,99.5,43.0,352,100.37,35.1,
4.8,12.5,99.5,66.9,403,100.41,35.0,
5.76,12.5,99.5,40.0,419,100.40,35.0,
6.72,12.5,99.5,74.7,378,100.37,35.0,
7.68,12.5,99.5,75.2,350,100.38,35.0,
8.64,12.5,99.5,56.8,376,100.37,35.1,
9.6,12.5,99.5,40.0,407,100.36,35.1,
10.56,12.5,99.5,78.6,372,100.39,35.1,
11.52,12.5,99.5,73.1,392,100.40,35.1,
12.48,12.5,99.5,43.3,603,100.35,35.1,
13.44,12.5,99.5,71.5,686,100.38,35.1,
14.4,12.5,99.5,53.8,514,100.39,35.1,
15.36,12.5,99.5,48.3,495,100.39,35.1,
16.32,12.5,99.5,66.8,488,100.39,35.2,
17.28,12.5,99.5,61.2,405,100.41,35.2,
18.24,12.5,99.5,46.9,152,100.39,35.2,
19.2,12.5,99.5,80.9,236,100.40,35.2,
20.16,12.5,99.5,75.8,290,100.39,35.2,
21.12,12.5,99.5,75.9,310,100.39,35.2,
22.08,12.5,99.5,82.0,317,100.39,35.2,
23.04,12.5,99.5,73.9,321,100.39,35.2,
24,12.5,99.5,40.4,317,100.40,35.2,
24.96,12.5,99.5,60.1,321,100.40,35.2,
25.92,12.5,99.5,80.1,170,100.38,35.2,
26.88,12.5,99.5,47.2,92,100.38,35.2,
27.84,12.5,99.5,65.2,70,100.36,35.2,
28.8,12.5,99.5,61.2,169,100.40,35.1,
29.76,12.5,99.5,71.9,505,100.39,35.1,
30.72,12.5,99.5,75.5,672,100.40,35.1,
31.68,12.5,99.5,80.1,400,100.37,35.1,
32.64,12.5,99.5,78.2,346,100.36,35.1,
33.6,12.5,99.5,47.8,224,100.42,35.1,
34.56,12.5,99.5,72.9,242,100.39,35.1,
35.52,12.5,99.5,74.6,212,100.41,35.2,
36.48,12.5,99.5,77.5,353,100.39,35.2,
37.44,12.5,99.5,70.7,328,100.39,35.2,
38.4,12.5,99.5,62.3,267,100.35,35.2,
39.36,12.5,99.5,55.8,277,100.36,35.1,
40.32,12.4,99.5,40.0,301,100.37,35.1,
41.28,12.5,99.5,40.0,427,100.36,35.1,
42.24,12.5,99.5,79.1,448,100.41,35.1,
43.2,12.4,99.5,87.1,599,100.39,35.1,
44.16,12.5,99.5,85.8,739,100.39,35.1,
45.12,12.5,99.5,103.3,372,100.38,35.2,
46.08,12.4,99.5,71.4,504,100.40,35.4,
47.04,12.4,99.5,81.5,307,100.37,35.6,
48,12.4,99.5,87.2,358,100.38,35.9,
48.96,12.4,99.5,74.3,339,100.38,36.2,
49.92,12.4,99.5,76.2,509,100.37,36.4,
50.88,12.5,99.5,40.0,1000,100.39,36.5,
51.84,12.5,99.5,70.1,1000,100.39,36.6,
52.8,12.4,99.5,62.2,1000,100.39,36.6,
53.76,12.5,99.5,73.8,1000,100.36,36.7,
54.72,12.4,99.5,75.0,1000,100.39,36.7,
55.68,12.5,99.5,66.2,1000,100.39,36.7,
56.64,12.4,99.5,59.3,1000,100.39,36.6,
57.6,12.4,99.5,80.0,1000,100.36,36.6,
58.56,12.4,99.5,70.8,970,100.38,36.6,
59.52,12.5,99.5,40.3,586,100.38,36.5,
60.48,12.5,99.5,40.0,501,100.40,36.4,
61.44,12.5,99.5,74.1,107,100.41,36.4,
62.4,12.5,99.5,46.4,23,100.37,36.3,
63.36,12.5,99.5,53.7,10,100.37,36.3,
64.32,12.5,99.5,65.2,8,100.38,36.2,
65.28,12.5,99.5,75.5,8,100.38,36.1,
66.24,12.5,99.5,63.1,7,100.40,36.1,
67.2,12.5,99.5,40.0,6,100.39,36.1,
68.16,12.5,99.5,78.9,5,100.41,36.0,
69.12,12.5,99.5,51.0,4,100.38,36.0,
70.08,12.5,99.5,79.7,4,100.39,36.0,
71.04,12.5,99.5,87.2,4,100.38,36.0,
72,12.4,99.5,68.6,4,100.40,36.0,
72.96,12.5,99.5,58.4,4,100.40,36.0,
73.92,12.5,99.5,71.8,4,100.37,36.0,
74.88,12.4,99.5,78.7,4,100.38,36.0,
75.84,12.5,99.5,62.4,4,100.39,36.0,
